"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
283754,2011,1458041,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","LONDON"
864912,2019,1991004,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","LONDON"
819953,2018,1991777,"Consolidator Grants","SH5 - Cultures & Cultural Production","UK","OXFORD"
101055379,2021,2498609,"Advanced Grants","PE7 - Systems & Communication Engineering","AT","VIENNA"
101082277,2022,150000,"Proof Of Concept","Proof of Concept","AT","VIENNA"
101021016,2020,2498960,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","AT","VIENNA"
695136,2015,2422698,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","AT","VIENNA"
802823,2018,1498638,"Starting Grants","PE6 - Computer Science & Informatics","DE","WUPPERTAL"
819075,2018,2000000,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","NL","GRONINGEN"
101003216,2020,1600975,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","CH","Lucerne"
311705,2012,1499668,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","FI","HELSINKI"
646809,2014,1996246,"Consolidator Grants","PE10 - Earth System Science","UK","Southampton"
875668,2019,150000,"Proof Of Concept","Proof of Concept","FI","HELSINKI"
648498,2014,1987187,"Consolidator Grants","SH6 - The Study of the Human Past","AT","VIENNA"
963924,2020,150000,"Proof Of Concept","Proof of Concept","BE","GHENT"
615517,2013,1549315,"Consolidator Grants","PE6 - Computer Science & Informatics","BE","GHENT"
309952,2012,1629630,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","NEUHERBERG"
311710,2012,1456807,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","AACHEN"
616644,2013,1888920,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","DE","BAYREUTH"
714769,2016,1435088,"Starting Grants","PE9 - Universe Sciences","DE","MUNCHEN"
101041871,2021,1499694,"Starting Grants","PE11 - Materials Engineering","FR","PARIS"
742579,2016,2500000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","CH","ZURICH"
247340,2009,2000000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","CH","ZURICH"
101019739,2020,2496420,"Advanced Grants","PE2 - Fundamental Constituents of Matter","DE","STUTTGART"
267100,2010,2407200,"Advanced Grants","PE2 - Fundamental Constituents of Matter","DE","STUTTGART"
290976,2011,1726794,"Advanced Grants","PE1 - Mathematics","DE","HEIDELBERG"
101042399,2021,1844350,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","PADERBORN"
694978,2015,2499299,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","AT","VIENNA"
714440,2016,1485000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","EDINBURGH"
101076369,2022,1499762,"Starting Grants","PE9 - Universe Sciences","DE","Potsdam"
101044180,2021,1999994,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DK","Hillerod"
885531,2019,3495978,"Advanced Grants","PE10 - Earth System Science","UK","BRISTOL"
724822,2016,1991445,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","GOTTINGEN"
852410,2019,1499910,"Starting Grants","PE2 - Fundamental Constituents of Matter","NL","DELFT"
311082,2012,1496444,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","Nuthetal"
101039524,2021,1499455,"Starting Grants","SH4 - The Human Mind and its Complexity","DE","Osnabruck"
715890,2016,1500000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","MUNCHEN"
949431,2020,1499915,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","STUTTGART"
818635,2018,1997500,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","DE","MUNCHEN"
336440,2013,1433840,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","MUNCHEN"
825581,2018,149170,"Proof Of Concept","Proof of Concept","BE","Hasselt"
310898,2012,1473910,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","BE","Hasselt"
101044320,2021,1999825,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DE","MUNCHEN"
715466,2016,1498175,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","MUNCHEN"
851810,2019,1500000,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","BERLIN"
101078313,2022,1962500,"Starting Grants","PE11 - Materials Engineering","NL","ENSCHEDE"
101089081,2022,1988500,"Consolidator Grants","SH4 - The Human Mind and its Complexity","BE",NA
101040057,2021,1975955,"Starting Grants","PE11 - Materials Engineering","CZ","Prague"
819603,2018,1798605,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","AT","KLOSTERNEUBURG"
803553,2018,1499290,"Starting Grants","PE8 - Products & Processes Engineering","UK","EDINBURGH"
101123131,2023,150000,"Proof Of Concept","Proof of Concept","DE",NA
771201,2017,1995564,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","GOTTINGEN"
259608,2010,1409400,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","DE","Ulm"
101001016,2020,1962477,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FI","HELSINKI"
101044725,2021,1978350,"Consolidator Grants","SH5 - Cultures & Cultural Production","DE","KONSTANZ"
101044445,2021,1999929,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","DE","NEUHERBERG"
101040935,2021,1409163,"Starting Grants","PE1 - Mathematics","DE","DARMSTADT"
101078667,2022,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","NL",NA
101039320,2021,1493875,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","AT","INNSBRUCK"
615132,2013,1975071,"Consolidator Grants","PE8 - Products & Processes Engineering","DE","Weimar"
268880,2010,2476108,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","UK","EDINBURGH"
306457,2012,801187,"Starting Grants","PE1 - Mathematics","UK","BRISTOL"
250157,2009,2498658,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","UK","LONDON"
862389,2019,150000,"Proof Of Concept","Proof of Concept","UK","BRISTOL"
321209,2012,3425271,"Advanced Grants","PE10 - Earth System Science","UK","BRISTOL"
742808,2016,2499244,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","CAMBRIDGE"
294494,2011,2497443,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","CAMBRIDGE"
323677,2012,2434878,"Advanced Grants","SH2 - Institutions, Governance & Legal Systems","UK","Aberdeen"
694254,2015,1031105,"Advanced Grants","SH6 - The Study of the Human Past","UK","EXETER"
313552,2012,1477483,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","MANCHESTER"
239999,2009,1682800,"Starting Grants","PE2 - Fundamental Constituents of Matter","UK","COVENTRY"
322778,2012,2500000,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","CH","ZURICH"
323195,2012,2007925,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","UK","EXETER"
284123,2011,1354917,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","CAMBRIDGE"
249872,2009,2053935,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","OXFORD"
101044355,2021,2000000,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","NL","AMSTERDAM"
291406,2011,2137014,"Advanced Grants","PE10 - Earth System Science","UK","OXFORD"
716643,2016,1299191,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","CAMBRIDGE"
741112,2016,2494117,"Advanced Grants","PE10 - Earth System Science","UK","OXFORD"
802123,2018,1500000,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","BE","ANTWERP"
803714,2018,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","NO","Bergen"
789283,2017,150000,"Proof Of Concept","Proof of Concept","NL","Utrecht"
281322,2011,1500000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","NL","Utrecht"
268688,2010,1700000,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","Sheffield"
678426,2015,149190,"Proof Of Concept","Proof of Concept","NL","Utrecht"
714472,2016,1375000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","FR","PARIS"
648283,2014,1738715,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","UK","Bath"
101087395,2022,1999035,"Consolidator Grants","SH3 - The Social World and its Diversity","NL",NA
757364,2017,1464846,"Starting Grants","SH3 - The Social World and its Diversity","NL","GRONINGEN"
637908,2014,884725,"Starting Grants","SH6 - The Study of the Human Past","BE","ANTWERP"
637908,2014,884725,"Starting Grants","SH6 - The Study of the Human Past","BE","ANTWERP"
804154,2018,1497407,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","BE","GHENT"
755695,2017,1950775,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL","Amsterdam"
101021347,2020,2499065,"Advanced Grants","PE6 - Computer Science & Informatics","BE","LEUVEN"
240530,2009,1538380,"Starting Grants","PE6 - Computer Science & Informatics","BE","LEUVEN"
249997,2009,2299720,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL","Amsterdam"
101097687,2022,1859312,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","IT",NA
757867,2017,1362401,"Starting Grants","PE3 - Condensed Matter Physics","CH","ZURICH"
336084,2013,1911315,"Starting Grants","PE8 - Products & Processes Engineering","UK","LONDON"
101040760,2021,1104219,"Starting Grants","PE2 - Fundamental Constituents of Matter","IT","BOLOGNA"
208792,2007,1794960,"Starting Grants","PE3 - Condensed Matter Physics","NL","LEIDEN"
322698,2012,2319914,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","NL","Groningen"
101077017,2022,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE",NA
101042990,2021,1500000,"Starting Grants","PE1 - Mathematics","DE","MUNCHEN"
101044011,2021,1841342,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","DE","Frankfurt"
101076233,2022,1486250,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","Dresden"
637675,2014,1746038,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","DE","MUNCHEN"
616891,2013,1999920,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","DE","Hamburg"
946055,2020,1499727,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","LONDON"
853564,2019,1950000,"Starting Grants","PE7 - Systems & Communication Engineering","DE","Hamburg"
101077020,2022,1433750,"Starting Grants","PE3 - Condensed Matter Physics","DE","KOLN"
737639,2016,149987,"Proof Of Concept","Proof of Concept","CH","LAUSANNE"
320966,2012,2496000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","CH","LAUSANNE"
209321,2007,1332000,"Starting Grants","PE2 - Fundamental Constituents of Matter","CH","LAUSANNE"
648330,2014,1792500,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","DE","Freiburg"
802923,2018,1499728,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","MUNCHEN"
681917,2015,1984375,"Consolidator Grants","PE3 - Condensed Matter Physics","DE","Berlin"
101086793,2022,1998569,"Consolidator Grants","SH4 - The Human Mind and its Complexity","DE",NA
862528,2019,150000,"Proof Of Concept","Proof of Concept","CH","LAUSANNE"
835329,2018,2496000,"Advanced Grants","PE3 - Condensed Matter Physics","CH","LAUSANNE"
101001239,2020,1999125,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","DE","BERLIN"
614623,2013,2669124,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","DE","Wurzburg"
865677,2019,1999830,"Consolidator Grants","PE8 - Products & Processes Engineering","CH","LAUSANNE"
714161,2016,1424000,"Starting Grants","PE7 - Systems & Communication Engineering","ES","Getafe"
101113433,2022,150000,"Proof Of Concept","Proof of Concept","DE","GOTTINGEN"
101054467,2021,2499411,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","GOTTINGEN"
670759,2014,2496405,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","GOTTINGEN"
278106,2011,1343219,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","HANNOVER"
742039,2016,2006250,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","HEIDELBERG"
742039,2016,2006250,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","HEIDELBERG"
101021493,2020,2388242,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","DE","HAMBURG"
101043732,2021,1999894,"Consolidator Grants","SH3 - The Social World and its Diversity","NL","UTRECHT"
802681,2018,1499914,"Starting Grants","SH4 - The Human Mind and its Complexity","DE","MUNCHEN"
819039,2018,1999936,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","DK","Aarhus"
648477,2014,1457869,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","UK","EDINBURGH"
950319,2020,1500000,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","CH","ZURICH"
950319,2020,1500000,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","CH","ZURICH"
725743,2016,1999965,"Consolidator Grants","PE8 - Products & Processes Engineering","ES","MADRID"
725743,2016,1999965,"Consolidator Grants","PE8 - Products & Processes Engineering","ES","MADRID"
884596,2019,2195110,"Advanced Grants","PE1 - Mathematics","UK","LONDON"
306326,2012,1131339,"Starting Grants","PE1 - Mathematics","UK","LONDON"
260753,2010,1499222,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","FR","PARIS"
670077,2014,2499681,"Advanced Grants","PE6 - Computer Science & Informatics","DE","BERLIN"
615703,2013,1999956,"Consolidator Grants","PE10 - Earth System Science","DE","TUBINGEN"
337116,2013,1499942,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL","ROTTERDAM"
101054904,2021,2410000,"Advanced Grants","PE7 - Systems & Communication Engineering","TR","Ankara"
677313,2015,1887180,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","NL","EINDHOVEN"
101088063,2022,1999588,"Consolidator Grants","PE8 - Products & Processes Engineering","BE",NA
101116228,2023,1500000,"Starting Grants","PE8 - Products & Processes Engineering","BE",NA
307074,2012,1130400,"Starting Grants","PE1 - Mathematics","BE","LOUVAIN-LA-NEUVE"
240123,2009,620000,"Starting Grants","PE1 - Mathematics","UK","LONDON"
101000199,2020,1999497,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","NL","EINDHOVEN"
835883,2018,149770,"Proof Of Concept","Proof of Concept","NL","EINDHOVEN"
284382,2011,1041600,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","BE","LOUVAIN-LA-NEUVE"
893462,2019,150000,"Proof Of Concept","Proof of Concept","BE","LEUVEN"
101112973,2022,150000,"Proof Of Concept","Proof of Concept","NL","Amsterdam"
101067731,2022,150000,"Proof Of Concept","Proof of Concept","NL","Amsterdam"
839088,2018,150000,"Proof Of Concept","Proof of Concept","NL","Amsterdam"
678623,2015,1499269,"Starting Grants","PE5 - Synthetic Chemistry & Materials","NL","Amsterdam"
771083,2017,1997840,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","DE","DUSSELDORF"
208237,2007,1600356,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","AACHEN"
637424,2014,1734360,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","BE","LEUVEN"
648176,2014,2000000,"Consolidator Grants","SH4 - The Human Mind and its Complexity","BE","LEUVEN"
101087869,2022,2000000,"Consolidator Grants","SH4 - The Human Mind and its Complexity","IL","TEL AVIV"
715016,2016,1500000,"Starting Grants","SH4 - The Human Mind and its Complexity","IL","TEL AVIV"
101045653,2021,1999995,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","NL","AMSTERDAM"
724326,2016,1991960,"Consolidator Grants","PE9 - Universe Sciences","BE","LEUVEN"
756277,2017,1497202,"Starting Grants","PE5 - Synthetic Chemistry & Materials","AT","VIENNA"
101082088,2022,150000,"Proof Of Concept","Proof of Concept","CZ","BRNO"
101069245,2022,150000,"Proof Of Concept","Proof of Concept","DE","Jena"
724530,2016,1997973,"Consolidator Grants","PE7 - Systems & Communication Engineering","DE","Jena"
101095925,2022,2499998,"Advanced Grants","PE3 - Condensed Matter Physics","CZ",NA
268066,2010,1938000,"Advanced Grants","PE3 - Condensed Matter Physics","CZ","Prague"
864203,2019,1896875,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","ES","BARCELONA"
260372,2010,1599999,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","ES","BARCELONA"
309485,2012,1257600,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","IT","PADOVA"
715968,2016,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IE","DUBLIN"
715968,2016,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IE","DUBLIN"
101041554,2021,1449034,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","CZ","PRAGUE"
284238,2011,1271342,"Starting Grants","SH3 - The Social World and its Diversity","AT","VIENNA"
949397,2020,1499625,"Starting Grants","PE5 - Synthetic Chemistry & Materials","CH","Bern"
227690,2008,2440000,"Advanced Grants","PE3 - Condensed Matter Physics","PL","Warsaw"
726318,2016,1957574,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","GLASGOW"
805498,2018,1499625,"Starting Grants","SH5 - Cultures & Cultural Production","PL","KRAKOW"
101096208,2022,1944625,"Advanced Grants","PE2 - Fundamental Constituents of Matter","SI",NA
694544,2015,2041000,"Advanced Grants","PE3 - Condensed Matter Physics","SI","LJUBLJANA"
948181,2020,1451805,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","Regensburg"
101116116,2023,1500000,"Starting Grants","SH7 - Human Mobility, Environment & Space","NL",NA
101078075,2022,1494375,"Starting Grants","PE6 - Computer Science & Informatics","IL","TEL AVIV"
101088943,2022,2000000,"Consolidator Grants","PE1 - Mathematics","IL",NA
714738,2016,1481250,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","IL","HAIFA"
682676,2015,1822083,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","IL","TEL AVIV"
101088694,2022,2344135,"Consolidator Grants","PE8 - Products & Processes Engineering","IT",NA
647725,2014,1974000,"Consolidator Grants","PE3 - Condensed Matter Physics","IT","GENOVA"
283483,2011,778800,"Starting Grants","SH1 - Individuals, Markets & Organisations ","IT","MILAN"
648833,2014,1375869,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","IT","MILAN"
891959,2020,1498750,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","CH","ZURICH"
804468,2018,1499999,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE","Bonn"
787527,2017,2642120,"Advanced Grants","PE10 - Earth System Science","DE","BAYREUTH"
322682,2012,2490464,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","Dundee"
947636,2020,1499938,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","Bielefeld"
614492,2013,1773600,"Consolidator Grants","PE1 - Mathematics","FR","Marne la Vallee"
268569,2010,2141470,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","CAMBRIDGE"
948358,2020,1481550,"Starting Grants","PE1 - Mathematics","FR","PARIS"
101003292,2020,1999915,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","DE","KARLSRUHE"
261213,2010,1499699,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","CAMBRIDGE"
773268,2017,1999825,"Consolidator Grants","PE7 - Systems & Communication Engineering","BE","LEUVEN"
101054410,2021,2095696,"Advanced Grants","SH7 - Human Mobility, Environment & Space","NO","AS"
339953,2013,2497960,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DK","Aarhus"
101117587,2023,1498779,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DE",NA
665633,2014,143933,"Proof Of Concept","Proof of Concept","NO","Tromso"
818420,2018,1987231,"Consolidator Grants","SH3 - The Social World and its Diversity","NO","OSLO"
249580,2009,1489744,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","SE","STOCKHOLM"
101002047,2020,1980917,"Consolidator Grants","PE6 - Computer Science & Informatics","CH","ZURICH"
678880,2015,1499672,"Starting Grants","PE6 - Computer Science & Informatics","CH","ZURICH"
693402,2015,1104812,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","SE","STOCKHOLM"
715940,2016,1291064,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
291071,2011,1706400,"Advanced Grants","PE6 - Computer Science & Informatics","IL","TEL AVIV"
801965,2018,1500000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","SE","UPPSALA"
336301,2013,1618253,"Starting Grants","SH6 - The Study of the Human Past","UK","CANTERBURY"
695223,2015,1873483,"Advanced Grants","PE1 - Mathematics","UK","BRISTOL"
101055377,2021,2493275,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","DE","DRESDEN"
683145,2015,1953250,"Consolidator Grants","LS4 - Physiology in Health, Disease & Ageing","DE","DRESDEN"
281296,2011,1488480,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","DRESDEN"
101069207,2022,150000,"Proof Of Concept","Proof of Concept","CY","Nicosia"
101100769,2022,150000,"Proof Of Concept","Proof of Concept","CY","Nicosia"
863955,2019,2000000,"Consolidator Grants","PE8 - Products & Processes Engineering","CY","Nicosia"
838414,2018,150000,"Proof Of Concept","Proof of Concept","CY","Nicosia"
336839,2013,1440360,"Starting Grants","PE8 - Products & Processes Engineering","CY","Nicosia"
282163,2011,1497248,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","DK","Aarhus"
101075421,2022,1891529,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NO","TRONDHEIM"
307149,2012,1500000,"Starting Grants","PE3 - Condensed Matter Physics","FR","PARIS"
947852,2020,1500000,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","DE","Berlin"
240842,2009,686000,"Starting Grants","SH5 - Cultures & Cultural Production","CH","ZURICH"
802899,2018,1500000,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DK","COPENHAGEN"
250254,2009,2499937,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","NO","Bergen"
267631,2010,2499010,"Advanced Grants","PE10 - Earth System Science","NO","OSLO"
101019907,2020,1929658,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","FR","PARIS"
101045273,2021,2249666,"Consolidator Grants","PE10 - Earth System Science","NO","OSLO"
758005,2017,1500000,"Starting Grants","PE10 - Earth System Science","NO","OSLO"
267683,2010,2017932,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","NO","OSLO"
101052954,2021,2149023,"Advanced Grants","PE1 - Mathematics","IL","REHOVOT"
203418,2007,750000,"Starting Grants","PE1 - Mathematics","IL","JERUSALEM"
306658,2012,1433725,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FR","PARIS"
101055307,2021,2498750,"Advanced Grants","PE9 - Universe Sciences","IL","JERUSALEM"
695175,2015,1449375,"Advanced Grants","PE9 - Universe Sciences","IL","JERUSALEM"
227634,2008,1933460,"Advanced Grants","PE9 - Universe Sciences","IL","JERUSALEM"
101076311,2022,2248644,"Starting Grants","PE10 - Earth System Science","CY",NA
207916,2007,1544400,"Starting Grants","PE3 - Condensed Matter Physics","IT","ROMA"
865094,2019,1999375,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","CH","ZURICH"
647121,2014,1948750,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","SE","Gothenburg"
771509,2017,1995304,"Consolidator Grants","SH5 - Cultures & Cultural Production","UK","BRISTOL"
101087499,2022,1362842,"Consolidator Grants","PE1 - Mathematics","FI","JYVASKYLA"
737472,2016,150000,"Proof Of Concept","Proof of Concept","FI","TAMPERE"
637422,2014,1500000,"Starting Grants","PE6 - Computer Science & Informatics","FI","TAMPERE"
278558,2011,1100000,"Starting Grants","PE1 - Mathematics","FI","HELSINKI"
101001615,2020,1999715,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","UK","CAMBRIDGE"
825803,2018,149997,"Proof Of Concept","Proof of Concept","UK","CAMBRIDGE"
337969,2013,1499895,"Starting Grants","PE3 - Condensed Matter Physics","UK","CAMBRIDGE"
716162,2016,1972905,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","FI","HELSINKI"
681707,2015,1935000,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FI","JYVASKYLA"
818437,2018,1312500,"Consolidator Grants","PE1 - Mathematics","FI","HELSINKI"
636177,2014,1339755,"Starting Grants","SH5 - Cultures & Cultural Production","FI","JYVASKYLA"
101043238,2021,1993059,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","SE","STOCKHOLM"
101044906,2021,1981735,"Consolidator Grants","SH7 - Human Mobility, Environment & Space","FI","HELSINKI"
680882,2015,145312,"Proof Of Concept","Proof of Concept","DE","AACHEN"
309495,2012,1356000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DE","AACHEN"
101138100,2023,150000,"Proof Of Concept","Proof of Concept","DE",NA
864121,2019,1979375,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DE","AACHEN"
813086,2018,150000,"Proof Of Concept","Proof of Concept","DE","AACHEN"
851196,2019,1402345,"Starting Grants","PE3 - Condensed Matter Physics","UK","EDINBURGH"
101088673,2022,1999963,"Consolidator Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","NL",NA
666952,2014,2549250,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","DE","Essen"
848794,2019,1497815,"Starting Grants","PE8 - Products & Processes Engineering","CH","ZURICH"
247321,2009,1612171,"Advanced Grants","PE1 - Mathematics","DK","COPENHAGEN"
239748,2009,785000,"Starting Grants","PE1 - Mathematics","FR","PARIS"
818616,2018,959562,"Consolidator Grants","PE6 - Computer Science & Informatics","IT","BOLOGNA"
727283,2016,149937,"Proof Of Concept","Proof of Concept","FR","PARIS"
789256,2017,2482500,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","DE","Mainz"
811305,2018,150000,"Proof Of Concept","Proof of Concept","IL","REHOVOT"
320034,2012,2495399,"Advanced Grants","PE2 - Fundamental Constituents of Matter","IL","REHOVOT"
695094,2015,2499991,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","DE","KIEL"
692908,2015,150000,"Proof Of Concept","Proof of Concept","SE","STOCKHOLM"
695376,2015,2279406,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","SE","STOCKHOLM"
268815,2010,2500000,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","SE","STOCKHOLM"
101018170,2020,2269197,"Advanced Grants","PE2 - Fundamental Constituents of Matter","DE","Bonn"
101097876,2022,2410155,"Advanced Grants","PE7 - Systems & Communication Engineering","DE",NA
200497,2007,700000,"Starting Grants","PE1 - Mathematics","IT","Roma"
101019972,2020,2477947,"Advanced Grants","PE7 - Systems & Communication Engineering","DE","WUPPERTAL"
833895,2018,2499990,"Advanced Grants","PE3 - Condensed Matter Physics","CH","Fribourg"
